
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /login 200 in 241ms (next.js: 61ms, proxy.ts: 122ms, application-code: 58ms)
 GET /login 200 in 243ms (next.js: 29ms, proxy.ts: 121ms, application-code: 93ms)
 GET /login 200 in 156ms (next.js: 72ms, proxy.ts: 24ms, application-code: 60ms)
 GET /login 200 in 140ms (next.js: 18ms, proxy.ts: 71ms, application-code: 51ms)
 GET /login 200 in 171ms (next.js: 7ms, proxy.ts: 4ms, application-code: 159ms)
 GET /login 200 in 152ms (next.js: 11ms, proxy.ts: 8ms, application-code: 133ms)
 GET /login 200 in 152ms (next.js: 27ms, proxy.ts: 9ms, application-code: 116ms)
 GET /login 200 in 154ms (next.js: 43ms, proxy.ts: 9ms, application-code: 102ms)
 GET /login 200 in 172ms (next.js: 65ms, proxy.ts: 9ms, application-code: 98ms)
 GET /login 200 in 170ms (next.js: 31ms, proxy.ts: 63ms, application-code: 76ms)
 GET /login 200 in 125ms (next.js: 13ms, proxy.ts: 4ms, application-code: 108ms)
 GET /login 200 in 125ms (next.js: 10ms, proxy.ts: 26ms, application-code: 89ms)
 GET /login 200 in 110ms (next.js: 20ms, proxy.ts: 10ms, application-code: 80ms)
 GET /login 200 in 109ms (next.js: 33ms, proxy.ts: 10ms, application-code: 67ms)
 GET /login 200 in 125ms (next.js: 48ms, proxy.ts: 7ms, application-code: 70ms)
 GET /login 200 in 126ms (next.js: 24ms, proxy.ts: 45ms, application-code: 58ms)
 GET /login 200 in 132ms (next.js: 11ms, proxy.ts: 9ms, application-code: 112ms)
 GET /login 200 in 124ms (next.js: 10ms, proxy.ts: 23ms, application-code: 91ms)
 GET /login 200 in 124ms (next.js: 24ms, proxy.ts: 25ms, application-code: 75ms)
 GET /login 200 in 110ms (next.js: 38ms, proxy.ts: 10ms, application-code: 62ms)
 GET /login 200 in 122ms (next.js: 23ms, proxy.ts: 36ms, application-code: 63ms)
 GET /login 200 in 107ms (next.js: 24ms, proxy.ts: 37ms, application-code: 46ms)
 GET /login 200 in 79ms (next.js: 10ms, proxy.ts: 3ms, application-code: 66ms)
 GET /login 200 in 74ms (next.js: 7ms, proxy.ts: 20ms, application-code: 46ms)
 GET /login 200 in 72ms (next.js: 21ms, proxy.ts: 20ms, application-code: 31ms)
 GET /login 200 in 57ms (next.js: 33ms, proxy.ts: 7ms, application-code: 18ms)
